Date,Open,High,Low,Close
2012-01-02,348.399994,354.875,343.575012,353.274994
2012-01-03,356.125,363.450012,355.174988,362.325012
2012-01-04,363.700012,365.475006,356.674988,358.075012
2012-01-05,357.5,362.475006,347.049988,349.75
2012-01-06,348.524994,362,348.325012,358.774994
2012-01-07,null,null,null,null
2012-01-08,357.225006,357.225006,351.225006,353.125
2012-01-09,356,369.5,356,368.100006
2012-01-10,368.950012,376.5,365.75,374.125
2012-01-11,373.75,376.475006,366.299988,368.450012
2012-01-12,371,375.475006,364.049988,365.899994
2012-01-13,364.975006,364.975006,355.5,356.475006
2012-01-14,358,372.200012,358,371.024994
2012-01-15,381,393.950012,379.024994,389.875
2012-01-16,394.5,397.975006,391.049988,392.825012
2012-01-17,395,400,386.024994,396.325012
2012-01-18,377.649994,389.875,377.600006,385.774994
2012-01-19,387.299988,395.799988,385.200012,391.875
2012-01-20,394.350006,397.5,391.399994,395.475006
2012-01-21,400,413.950012,399.5,410.200012
2012-01-22,406.950012,409.424988,396.100006,397.375
2012-01-23,402.25,410.399994,400.700012,408.549988
2012-01-24,409.450012,417,408,415.600006
2012-01-25,417.5,421.350006,412.075012,414.625
2012-01-26,415,420,407.825012,419.149994
2012-01-27,422.950012,424.75,412.049988,416.5
2012-01-28,421,426.350006,417.125,422.274994
2012-01-29,423.5,432.350006,422.5,429.200012
2012-01-30,428.375,429.950012,421.299988,426.924988
2012-01-31,425.174988,429.5,419,421.625
2012-02-01,420.549988,429.399994,420.5,424.625
2012-02-02,423.450012,428.200012,421.5,424.450012
2012-02-03,427.100006,427.875,416.524994,418.325012
2012-02-04,415.5,415.5,402.350006,406.225006
2012-02-05,411.024994,413.200012,405.100006,409.100006
2012-02-06,408.75,424.375,407.549988,421.774994
2012-02-07,424,428.700012,415.049988,416.700012
2012-02-08,416,424.950012,413.299988,419.799988
2012-02-09,416.75,420.850006,407.25,409.975006
2012-02-10,410.899994,412.799988,382.674988,390.725006
2012-02-11,394.524994,400.174988,393.850006,398.25
2012-02-12,402.524994,413.950012,402.075012,410.375
2012-02-13,405.899994,409.350006,400.549988,405.475006
2012-02-14,408.125,409,402.875,407.049988
2012-02-15,null,null,null,null
2012-02-16,406.024994,407,397.125,398.75
2012-02-17,398.5,404.5,387,388.274994
2012-02-18,388.274994,388.75,375.5,380.899994
2012-02-19,387.649994,389.799988,384.600006,386.899994
2012-02-20,395,401.5,389.850006,399.274994
2012-02-21,401.725006,410.975006,401.649994,409.975006
2012-02-22,414,415,403.350006,407.25
2012-02-23,409,410.600006,396.700012,398.325012
2012-02-24,390,398.850006,383.674988,386.174988
2012-02-25,390.5,391.5,375.549988,377.549988
2012-02-26,378.049988,383.200012,375.149994,380.274994
2012-02-27,380,386.75,377.549988,384.024994
2012-02-28,382.950012,385.725006,366,368.174988
2012-02-29,371.899994,374.75,369.049988,372.024994
2012-03-01,371.950012,371.950012,363.5,365.049988
2012-03-02,369,369.399994,362.549988,365.524994
2012-03-03,365,367.950012,360.25,362.850006
2012-03-04,359,364.850006,359,362.325012
2012-03-05,364.75,376.5,363.549988,375.299988
2012-03-06,374.674988,375.424988,369.524994,370.274994
2012-03-07,372.125,381.450012,372.125,376.350006
2012-03-08,372.5,378.5,371.725006,373.5
2012-03-09,370.024994,374,367.049988,371.075012
2012-03-10,373,373.5,369.049988,371.325012
2012-03-11,369.5,369.5,363.149994,365.149994
2012-03-12,366.649994,372.799988,366.649994,371.649994
2012-03-13,373.024994,381,368.75,375.774994
2012-03-14,373.549988,376.725006,368,374.049988
2012-03-15,377.399994,377.399994,370.174988,373.200012
2012-03-16,375,378.399994,371.350006,374.299988
2012-03-17,376.950012,376.950012,369.25,370.825012
2012-03-18,370.024994,370.5,364,365.424988
2012-03-19,362.924988,372.875,362.100006,368.149994
2012-03-20,369.5,370.25,361.850006,367.549988
2012-03-21,367.049988,371.450012,364.024994,368.149994
2012-03-22,368.549988,374.5,366.799988,372.524994
2012-03-23,370.649994,373.575012,368.25,371
