Date,Open,High,Low,Close
2015-03-13,434.5,434.799988,423.5,425.049988
2015-03-16,425.75,426.975006,420.149994,421.049988
2015-03-17,425.274994,429.950012,420.5,428.424988
2015-03-18,428.5,436.125,427.350006,434.325012
2015-03-19,437.774994,438.350006,427.049988,428.075012
2015-03-20,428.950012,430.575012,424.299988,427.049988
2015-03-23,428.25,432,419.049988,420.975006
2015-03-24,421.049988,427.149994,421.049988,423.975006
2015-03-25,424.5,424.75,420.5,422.450012
2015-03-26,420.549988,424.625,412.049988,414.649994
2015-03-27,416.950012,417.5,400.725006,405.850006
2015-03-30,408.299988,408.850006,398.225006,405.375
2015-03-31,409,416.450012,409,413
2015-04-01,412.450012,419.5,406.549988,418.024994
2015-04-06,418,419,410.700012,412.325012
2015-04-07,413.024994,418.049988,413.024994,416.424988
2015-04-08,416.75,434.75,416.450012,432.950012
2015-04-09,432.75,449.5,429.399994,447.549988
2015-04-10,447.475006,454.399994,444.549988,452.174988
2015-04-13,453.399994,462.375,449.375,461.25
2015-04-15,460.5,469.799988,453.600006,461.825012
2015-04-16,462.25,469,459.5,464.174988
2015-04-17,467.524994,472.149994,461.299988,463.424988
2015-04-20,468.649994,468.725006,439.25,442.825012
2015-04-21,445.075012,447.75,436.225006,438.225006
2015-04-22,440.950012,443.375,433.5,439.875
2015-04-23,441.924988,444.700012,434.524994,438.524994
2015-04-24,438.5,442.225006,434.325012,439.450012
2015-04-27,440.024994,443.75,435.725006,437.649994
2015-04-28,437.350006,441,429.274994,432.600006
2015-04-29,431,435.274994,423.700012,425
2015-04-30,425,432.950012,423.975006,431.174988
2015-05-04,433.100006,446.950012,430.25,445.475006
2015-05-05,446.850006,450.899994,442.549988,446.075012
2015-05-06,445,448.375,436,440.125
2015-05-07,437.5,439.225006,430,435.375
2015-05-08,435.5,446.875,430.549988,444.850006
2015-05-11,446.424988,449.725006,441.700012,447.975006
2015-05-12,447.450012,447.450012,432.575012,434.350006
2015-05-13,436.674988,444.325012,428.600006,442.549988
2015-05-14,443,443.100006,435.149994,439.100006
2015-05-15,440.950012,443.475006,435.049988,436.975006
2015-05-18,437.450012,447,436.100006,445.774994
2015-05-19,445.625,452.375,443.299988,447.774994
2015-05-20,450.200012,455.5,448.850006,454.424988
2015-05-21,455.625,457.700012,447.049988,448.375
2015-05-22,448.5,452.799988,448.5,451.924988
2015-05-25,450,454,446.174988,447.25
2015-05-26,447.5,448,441.350006,442.299988
2015-05-27,443,445.450012,440.100006,442.649994
2015-05-28,442.924988,447.125,436,437.899994
2015-05-29,439.950012,443.225006,436.549988,438.5
2015-06-01,440,452.450012,439,451.125
2015-06-02,452.875,459.399994,445.725006,449.325012
2015-06-03,449.5,455.225006,444.25,448.174988
2015-06-04,452.100006,458.100006,446.274994,456.350006
2015-06-05,454.950012,458.475006,452.225006,453.875
2015-06-08,453.399994,455,441.549988,442.725006
2015-06-09,441.774994,445.325012,438.674988,441.850006
2015-06-10,443,454.950012,442.5,452.899994
2015-06-11,453,454.75,436.825012,438.575012
2015-06-12,439.5,446.350006,439.125,444.924988
2015-06-15,447.450012,452.5,445,450.875
2015-06-16,449.5,452.5,446.600006,451.975006
2015-06-17,452.524994,471.174988,447,465.600006
2015-06-18,466.274994,491,466.25,489.475006
2015-06-19,491.25,503.200012,491.25,498.325012
2015-06-22,498.475006,504.350006,493.25,495.850006
2015-06-23,496.325012,501.350006,495.5,497.5
2015-06-24,497.5,503.225006,493.325012,495.450012
2015-06-25,493.5,504.5,492.5,502.274994
2015-06-26,499.950012,507.049988,497.700012,500.350006
2015-06-29,493.950012,496.924988,486,495.424988
2015-06-30,494.950012,501.424988,494,500.049988
2015-07-01,500.5,505.225006,500.5,502.825012
2015-07-02,504.5,509.875,503.549988,505.424988
2015-07-03,504.875,506.899994,501.524994,503.600006
2015-07-06,498.049988,509.450012,497.600006,507.774994
2015-07-07,505.5,508.299988,500,501.625
2015-07-08,497.924988,504.350006,495.825012,498.299988
2015-07-09,498,500.5,491.575012,493.700012
2015-07-10,495.549988,502,495.125,500.899994
2015-07-13,500.899994,506.25,497.575012,503.5
2015-07-14,504.450012,505.75,497.600006,498.899994
2015-07-15,499.875,507.200012,499.774994,505.575012
2015-07-16,506,513.900024,505.575012,511.850006
2015-07-17,512.625,515.575012,509,510.850006
2015-07-20,513.900024,514.974976,508.950012,512.375
2015-07-21,514,514.224976,501.375,503.899994
2015-07-22,502.5,526.974976,502.299988,525.200012
2015-07-23,526.75,533.924988,520.599976,522.650024
2015-07-24,524,524.825012,510.549988,512.525024
2015-07-27,512.450012,514.950012,500.875,502.674988
2015-07-28,504.149994,508.350006,500.049988,505.125
2015-07-29,504.75,506.350006,496.049988,498
2015-07-30,500.049988,504,496.149994,500.075012
2015-07-31,500,503.950012,495,500.924988
2015-08-03,500.5,506.924988,499.700012,501.225006
2015-08-04,501.700012,502.825012,490,494
2015-08-05,494.125,500.399994,492.049988,493.875
2015-08-06,495.5,496,488.75,489.475006
2015-08-07,489.5,497,488.575012,492.174988
2015-08-10,492.25,494.399994,482.25,484.450012
2015-08-11,485.5,486.825012,479,483
2015-08-12,481.799988,483,470.274994,471.450012
2015-08-13,473.5,476.975006,464.700012,466.674988
2015-08-14,470.125,486,467.149994,483.475006
2015-08-17,483,483,473.024994,475.350006
2015-08-18,478,478,471.100006,472.049988
2015-08-19,472,480.5,469.725006,477.299988
2015-08-20,479.975006,479.975006,456.875,458.149994
2015-08-21,455,455.950012,448.5,453.975006
2015-08-24,440,440,409,414.774994
2015-08-25,420.424988,430.325012,411.600006,424.075012
2015-08-26,423.899994,437.399994,420,426.700012
2015-08-27,433.399994,440.625,428.524994,434.575012
2015-08-28,437.5,441.5,433.049988,436.200012
2015-08-31,436.424988,436.424988,426.899994,427.950012
2015-09-01,426.950012,426.950012,417.549988,419.924988
2015-09-02,425,428.549988,421.299988,424.774994
2015-09-03,427.024994,430.375,422.200012,426.924988
2015-09-04,424.850006,424.850006,412.549988,417.950012
2015-09-07,419.125,422,413.850006,416.600006
2015-09-08,418,426.475006,412.549988,424.299988
2015-09-09,430.5,439.350006,425.25,437.024994
2015-09-10,430.5,435.25,427.75,433.5
2015-09-11,436,438.049988,428.100006,430.475006
2015-09-14,430.875,432.850006,425.950012,431.924988
2015-09-15,431,435,427.799988,433.5
2015-09-16,436.049988,438.674988,432.600006,436.274994
2015-09-18,439.225006,449.75,438.575012,447.700012
2015-09-21,440,444.100006,438.024994,439.049988
2015-09-22,440,442.450012,422.25,423.950012
2015-09-23,421.5,428.399994,420,425.174988
2015-09-24,424,424,417.375,418.674988
2015-09-28,419.899994,420.450012,414.350006,417.125
2015-09-29,415,425.125,413.049988,420.375
2015-09-30,425.5,432.399994,419.25,431.149994
2015-10-01,436.975006,436.975006,429.299988,432.350006
2015-10-05,431.399994,445,430.924988,444
2015-10-06,447.825012,450.25,442.875,449.024994
2015-10-07,447.350006,459.024994,445.5,456.899994
2015-10-08,457.450012,457.450012,443.125,444.549988
2015-10-09,447.024994,452.725006,440.75,443.674988
2015-10-12,444,450.799988,444,445.875
2015-10-13,442.524994,448.149994,441.450012,446.799988
2015-10-14,447.899994,452.5,446.975006,451.475006
2015-10-15,453.850006,455.5,450.049988,451.850006
2015-10-16,452.25,457.399994,451.850006,457.399994
2015-10-19,470.5,482.75,470.5,481.75
2015-10-20,482.5,483.350006,476.5,478.350006
2015-10-21,477.75,487.399994,476.5,477.5
2015-10-23,481.975006,486.524994,470.575012,477.825012
2015-10-26,480.950012,481.5,470.649994,471.424988
2015-10-27,469.399994,474.125,468.700012,469.774994
2015-10-28,468.450012,472.450012,464.950012,468.475006
2015-10-29,468,472.5,467.475006,470.5
2015-10-30,471.049988,477.950012,470.049988,473.850006
2015-11-02,474.5,480.75,472.600006,479.899994
2015-11-03,481.625,485.225006,480.625,483.600006
2015-11-04,484,487.5,473.100006,475.649994
2015-11-05,474.5,475.5,466.5,468.299988
2015-11-06,469.725006,477.375,468.950012,476.200012
2015-11-09,466.75,482.5,461.725006,480.625
2015-11-10,478.5,479.75,458.149994,461.375
